,MODEL,WEIGHTED,R2,AIC,BIC
164,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male')",67.11767651438987,0.19854579006202544,32780.71617792609,32813.59197575279
165,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2')",65.4860167861163,0.19813446485611563,32781.624863742356,32814.50066156905
170,"('Age', 'Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2')",64.51063784458705,0.19788817321605645,32782.168739869696,32815.04453769639
201,"('Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2')",63.80193910000014,0.19770902818849334,32782.564233875826,32815.44003170252
187,"('Age', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_3')",59.599021721903114,0.19664325992344878,32784.91527994978,32817.79107777648
192,"('Age', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",58.012459984715576,0.19623943756604945,32785.80528270052,32818.68108052722
188,"('Age', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2', 'CityTier_Tier_3')",58.00567829568291,0.19623770966136833,32785.809089948656,32818.68488777535
216,"('MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",56.756126361498104,0.19591907658432917,32786.51102305009,32819.38682087678
186,"('Age', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2')",51.68796261094036,0.19462135686401616,32789.36696571618,32822.242763542876
223,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_3')",36.65992682777323,0.20005271188577556,32778.379464485755,32816.73456195024
224,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2', 'CityTier_Tier_3')",35.2645132063933,0.19970364881134373,32779.15208522855,32817.50718269303
228,"('Age', 'Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",34.27209161103872,0.19945502256810332,32779.70219231592,32818.0572897804
243,"('Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",33.8031480048362,0.1993374326702242,32779.96231063749,32818.317408101975
222,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2')",29.30440161578997,0.19820580525696851,32782.4636105533,32820.81870801778
237,"('Age', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",22.031043281574284,0.19636244957482674,32786.53053442911,32824.885631893594
250,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",4.63053633322744,0.19975276915794038,32780.039129058874,32823.87352616114
2,"('Items',)",-5.143561650417373,0.002472564792313059,33164.31179428269,33175.270393558254
8,"('CityTier_Tier_3',)",-5.194916461459802,0.0009909881265055542,33166.94021888332,33177.89881815889
1,"('Age',)",-5.19608867378821,0.0009300532505590597,33167.04823830354,33178.00683757911
4,"('TransactionTime',)",-5.201606954625373,-0.0005631673889192612,33169.693217750384,33180.65181702595
7,"('CityTier_Tier_2',)",-5.203222492978301,-0.00039389347131746355,33169.39357702881,33180.352176304375
6,"('Gender_Male',)",-5.204490361053569,0.00016394036824485259,33168.40576684833,33179.3643661239
0,(),-5.204707147576083,-4.440892098500626e-16,33167.69697676592,33173.1762764037
9,"('Age', 'Items')",-143.7208640413408,0.00336603497679111,33163.723411988685,33180.16131090203
21,"('Items', 'CityTier_Tier_3')",-143.72333037119589,0.003329212685285521,33163.78884330638,33180.226742219726
19,"('Items', 'Gender_Male')",-143.76837834858438,0.0025653273633582385,33165.14568325139,33181.583582164734
20,"('Items', 'CityTier_Tier_2')",-143.79118631948242,0.0020739869728233495,33166.01787027549,33182.45576918884
17,"('Items', 'TransactionTime')",-143.79770667662027,0.001910451160184623,33166.308070342435,33182.74596925578
15,"('Age', 'CityTier_Tier_3')",-143.80171117469612,0.0018026818969517633,33166.49928471,33182.93718362335
13,"('Age', 'Gender_Male')",-143.82040868661224,0.0011754095519921348,33167.611840716214,33184.04973962956
35,"('Gender_Male', 'CityTier_Tier_3')",-143.8216675876476,0.0011206443920812603,33167.708941288525,33184.14684020187
29,"('TransactionTime', 'CityTier_Tier_2')",-143.82511924725142,-0.0009571959112628647,33171.38909854798,33187.82699746133
14,"('Age', 'CityTier_Tier_2')",-143.83167223493635,0.000506969814794811,33168.7966441794,33185.234543092745
36,"('CityTier_Tier_2', 'CityTier_Tier_3')",-143.83198841824847,0.00047485347525910715,33168.853550152526,33185.29144906587
30,"('TransactionTime', 'CityTier_Tier_3')",-143.83239879280424,0.00042961513420536335,33168.93370350264,33185.37160241599
28,"('TransactionTime', 'Gender_Male')",-143.83269378034888,-0.0003965797721485753,33170.396918933955,33186.8348178473
11,"('Age', 'TransactionTime')",-143.83291139837982,0.0003653494210059671,33169.04756333803,33185.485462251374
34,"('Gender_Male', 'CityTier_Tier_2')",-143.8336866912139,-0.00023993015693868358,33170.11958072911,33186.557479642455
42,"('Age', 'Items', 'CityTier_Tier_3')",-224.7581621157353,0.004111712762008168,33163.39588027484,33185.31307882597
40,"('Age', 'Items', 'Gender_Male')",-224.80223248390996,0.0035356312862748762,33164.420036634816,33186.33723518595
71,"('Items', 'Gender_Male', 'CityTier_Tier_3')",-224.812164383893,0.003392326992298411,33164.67471072562,33186.59190927676
41,"('Age', 'Items', 'CityTier_Tier_2')",-224.84086940159568,0.00293914852810806,33165.479838623316,33187.39703717445
38,"('Age', 'Items', 'TransactionTime')",-224.848459230055,0.002807127466102677,33165.714321626496,33187.63152017763
72,"('Items', 'CityTier_Tier_2', 'CityTier_Tier_3')",-224.84860379482794,0.002804552553536288,33165.71889462776,33187.636093178895
66,"('Items', 'TransactionTime', 'CityTier_Tier_3')",-224.85074920855462,0.002766057968205504,33165.787258953904,33187.70445750504
